Region,Country,State,City,Month,Day,temp2,temp1,time
Africa,Algeria,,Algiers,1,1,65.2,64.2,1
Africa,Algeria,,Algiers,1,2,50.4,49.4,2
Africa,Algeria,,Algiers,1,3,49.8,48.8,3
Africa,Algeria,,Algiers,1,4,47.4,46.4,4
Africa,Algeria,,Algiers,1,5,48.9,47.9,5
Africa,Algeria,,Algiers,1,6,49.7,48.7,6
Africa,Algeria,,Algiers,1,7,49.9,48.9,7
Africa,Algeria,,Algiers,1,8,50.1,49.1,8
Africa,Algeria,,Algiers,1,9,50,49,9
Africa,Algeria,,Algiers,1,10,52.9,51.9,10
Africa,Algeria,,Algiers,1,11,52.7,51.7,11
Africa,Algeria,,Algiers,1,12,52.3,51.3,12
Africa,Algeria,,Algiers,1,13,48,47,13
Africa,Algeria,,Algiers,1,14,47.9,46.9,14
Africa,Algeria,,Algiers,1,15,48.5,47.5,15
Africa,Algeria,,Algiers,1,16,46.9,45.9,16
Africa,Algeria,,Algiers,1,17,45.5,44.5,17
Africa,Algeria,,Algiers,1,18,51.7,50.7,18
Africa,Algeria,,Algiers,1,19,55,54,19
Africa,Algeria,,Algiers,1,20,53.6,52.6,20
Africa,Algeria,,Algiers,1,21,55.2,54.2,21
Africa,Algeria,,Algiers,1,22,52,51,22
Africa,Algeria,,Algiers,1,23,54.5,53.5,23
Africa,Algeria,,Algiers,1,24,55.2,54.2,24
Africa,Algeria,,Algiers,1,25,55.2,54.2,25
Africa,Algeria,,Algiers,1,26,53.6,52.6,26
Africa,Algeria,,Algiers,1,27,56.5,55.5,27
Africa,Algeria,,Algiers,1,28,54.8,53.8,28
Africa,Algeria,,Algiers,1,29,55.3,54.3,29
Africa,Algeria,,Algiers,1,30,58.4,57.4,30
Africa,Algeria,,Algiers,1,31,57.9,56.9,31
Africa,Algeria,,Algiers,2,1,51.4,50.4,32
Africa,Algeria,,Algiers,2,2,51.1,50.1,33
Africa,Algeria,,Algiers,2,3,55.1,54.1,34
Africa,Algeria,,Algiers,2,4,50.1,49.1,35
Africa,Algeria,,Algiers,2,5,49.8,48.8,36
Africa,Algeria,,Algiers,2,6,51.7,50.7,37
Africa,Algeria,,Algiers,2,7,52.6,51.6,38
Africa,Algeria,,Algiers,2,8,53.6,52.6,39
Africa,Algeria,,Algiers,2,9,57.3,56.3,40
Africa,Algeria,,Algiers,2,10,60,59,41
Africa,Algeria,,Algiers,2,11,60.4,59.4,42
Africa,Algeria,,Algiers,2,12,56.5,55.5,43
Africa,Algeria,,Algiers,2,13,58,57,44
Africa,Algeria,,Algiers,2,14,61.8,60.8,45
Africa,Algeria,,Algiers,2,15,62.8,61.8,46
Africa,Algeria,,Algiers,2,16,58.7,57.7,47
Africa,Algeria,,Algiers,2,17,57.1,56.1,48
Africa,Algeria,,Algiers,2,18,54.4,53.4,49
Africa,Algeria,,Algiers,2,19,52.4,51.4,50
Africa,Algeria,,Algiers,2,20,53.6,52.6,51
Africa,Algeria,,Algiers,2,21,53.5,52.5,52
Africa,Algeria,,Algiers,2,22,58.5,57.5,53
Africa,Algeria,,Algiers,2,23,56.1,55.1,54
Africa,Algeria,,Algiers,2,24,55.3,54.3,55
Africa,Algeria,,Algiers,2,25,64,63,56
Africa,Algeria,,Algiers,2,26,61,60,57
Africa,Algeria,,Algiers,2,27,49.3,48.3,58
Africa,Algeria,,Algiers,2,28,56.3,55.3,59
Africa,Algeria,,Algiers,3,1,53.2,52.2,60
Africa,Algeria,,Algiers,3,2,57.6,56.6,61
Africa,Algeria,,Algiers,3,3,55.7,54.7,62
Africa,Algeria,,Algiers,3,4,52.9,51.9,63
Africa,Algeria,,Algiers,3,5,55.5,54.5,64
Africa,Algeria,,Algiers,3,6,59.5,58.5,65
Africa,Algeria,,Algiers,3,7,54.4,53.4,66
Africa,Algeria,,Algiers,3,8,52.8,51.8,67
Africa,Algeria,,Algiers,3,9,54.3,53.3,68
Africa,Algeria,,Algiers,3,10,66.6,65.6,69
Africa,Algeria,,Algiers,3,11,69.7,68.7,70
Africa,Algeria,,Algiers,3,12,59.4,58.4,71
Africa,Algeria,,Algiers,3,13,56.1,55.1,72
Africa,Algeria,,Algiers,3,14,53.8,52.8,73
Africa,Algeria,,Algiers,3,15,54.9,53.9,74
Africa,Algeria,,Algiers,3,16,55.8,54.8,75
Africa,Algeria,,Algiers,3,17,56,55,76
Africa,Algeria,,Algiers,3,18,53.8,52.8,77
Africa,Algeria,,Algiers,3,19,57.1,56.1,78
Africa,Algeria,,Algiers,3,20,57.5,56.5,79
Africa,Algeria,,Algiers,3,21,57.7,56.7,80
Africa,Algeria,,Algiers,3,22,52.4,51.4,81
Africa,Algeria,,Algiers,3,23,52.6,51.6,82
Africa,Algeria,,Algiers,3,24,54.3,53.3,83
Africa,Algeria,,Algiers,3,25,57.4,56.4,84
Africa,Algeria,,Algiers,3,26,55.7,54.7,85
Africa,Algeria,,Algiers,3,27,55.5,54.5,86
Africa,Algeria,,Algiers,3,28,54.4,53.4,87
Africa,Algeria,,Algiers,3,29,57.6,56.6,88
Africa,Algeria,,Algiers,3,30,54.2,53.2,89
Africa,Algeria,,Algiers,3,31,47.6,46.6,90
Africa,Algeria,,Algiers,4,1,48.4,47.4,91
Africa,Algeria,,Algiers,4,2,53,52,92
Africa,Algeria,,Algiers,4,3,63.2,62.2,93
Africa,Algeria,,Algiers,4,4,65.2,64.2,94
Africa,Algeria,,Algiers,4,5,60.5,59.5,95
Africa,Algeria,,Algiers,4,6,60,59,96
